epoch,accuracy,loss,val_accuracy,val_loss
0,0.9195166826248169,0.28276076912879944,0.9606999754905701,0.13641788065433502
1,0.9679333567619324,0.1115226075053215,0.9708999991416931,0.10115248709917068
2,0.978766679763794,0.0720219835639,0.9757000207901001,0.0790930837392807
3,0.9855999946594238,0.050909705460071564,0.9768999814987183,0.07329113036394119
4,0.9891499876976013,0.0373142808675766,0.9785000085830688,0.06590668112039566
5,0.9929666519165039,0.02670351415872574,0.9797000288963318,0.06403092294931412
6,0.994866669178009,0.019616875797510147,0.9790999889373779,0.06643792241811752
7,0.9964666962623596,0.014774413779377937,0.9797999858856201,0.06392887234687805
8,0.9975333213806152,0.011742212809622288,0.9799000024795532,0.06107388436794281
9,0.9983166456222534,0.008566563948988914,0.9818000197410583,0.0575089305639267
